experiment,algorithm,repeat,fold,outer_fold_index,n_train,n_test,balanced_accuracy,roc_auc,sensitivity_at_95_specificity,achieved_specificity,mcc,brier_score,selected_threshold,train_time_s,prediction_time_s,prediction_time_ms_per_sample,best_inner_roc_auc
main_scaled,Random Forest,2,5,10,456,113,0.9572434607645876,0.988430583501006,0.9523809523809523,0.971830985915493,0.9241445201815177,0.031861172566371686,0.375,1.1891077689999747,0.00383082899998044,0.03390114159274726,0.9898617500439695
main_scaled,Random Forest,3,1,11,455,114,0.9580740255486406,0.9981984932852932,1.0,0.971830985915493,0.9252853920667758,0.02219435307017544,0.425,1.1554193479999526,0.003811909999967611,0.03343780701725975,0.9887738809743656
main_scaled,Random Forest,3,2,12,455,114,0.9323616115296429,0.9698657058630855,0.9302325581395349,0.9577464788732394,0.868859654660177,0.04407757675438597,0.4375,1.126222705000032,0.004008057000021381,0.03515839473702966,0.9941803006694366
main_scaled,Random Forest,3,3,13,455,114,0.9434523809523809,0.9923941798941798,0.9523809523809523,0.9583333333333334,0.8869047619047619,0.035179550438596496,0.425,1.1563142620000235,0.003967354999986128,0.03480135964900112,0.9871531899925251
main_scaled,Random Forest,3,4,14,455,114,0.9623015873015872,0.9937169312169313,0.9761904761904762,0.9583333333333334,0.9246031746031746,0.025999177631578947,0.425,1.18962326999997,0.0038450100000204657,0.033728157894916365,0.9909054434331442
main_scaled,Random Forest,3,5,15,456,113,0.9621059691482227,0.9973172367538564,1.0,0.9577464788732394,0.9242119382964453,0.026355088495575222,0.375,1.2071935449999955,0.0038763169999924685,0.03430369026542007,0.9891080669052016
main_scaled,RBF SVM,1,1,1,455,114,0.9767441860465116,0.9970520799213888,0.9767441860465116,0.9577464788732394,0.962998132394131,0.017296682819904572,0.3592986300193825,0.19492422400003306,0.0010430890000066029,0.009149903508829849,0.9950743085784638
main_scaled,RBF SVM,1,2,2,455,114,0.9742875859810023,0.9967245332459875,1.0,0.971830985915493,0.9444083040750081,0.019118307159039748,0.4304306818841427,0.1975432280000291,0.0012571030000003702,0.011027219298248861,0.9934804802576617
main_scaled,RBF SVM,1,3,3,455,114,0.9404761904761905,0.9821428571428572,0.9523809523809523,0.9583333333333334,0.907605465436683,0.03756089274264734,0.11353368840203089,0.1992146679999678,0.0008988800000224728,0.007884912280898885,0.9974057951897287
main_scaled,RBF SVM,1,4,4,455,114,0.9880952380952381,0.9990079365079365,1.0,0.9583333333333334,0.9812328999345131,0.014358741185010659,0.3112323168464313,0.19456321399997023,0.0012611889999902814,0.011063061403423521,0.9937167480103769
main_scaled,RBF SVM,1,5,5,456,113,0.9859154929577465,1.0,1.0,1.0,0.9631494433326853,0.00998642481230535,0.7846897801085085,0.19860345799997958,0.000978090999979031,0.008655672566186115,0.9945615134327047
main_scaled,RBF SVM,2,1,6,455,114,0.9651162790697674,0.9963969865705863,0.9767441860465116,0.9577464788732394,0.9447329926514414,0.025685862954480058,0.16509718252162903,0.1916598399999998,0.0009596430000442524,0.008417921053019759,0.9952966640834542
main_scaled,RBF SVM,2,2,7,455,114,0.971830985915493,0.9990173599737964,1.0,0.9577464788732394,0.9291664622950404,0.021346799311724528,0.6324760708346528,0.20390456100000165,0.0013242740000123376,0.011616438596599454,0.9962336625555116
main_scaled,RBF SVM,2,3,8,455,114,0.9880952380952381,0.998015873015873,0.9761904761904762,1.0,0.9812328999345131,0.019883600123610196,0.5,0.1987685929999543,0.0012258649999807858,0.01075320175421742,0.9953809963505252
main_scaled,RBF SVM,2,4,9,455,114,0.9880952380952381,0.9993386243386243,1.0,0.9722222222222222,0.9812328999345131,0.010943879553253294,0.4273655745269958,0.20117919599999823,0.0009754559999919366,0.008556631578876636,0.9935331750428703
main_scaled,RBF SVM,2,5,10,456,113,0.9691482226693494,0.9909456740442657,0.9761904761904762,0.9859154929577465,0.9430521597641348,0.017136323794353026,0.4435753345014088,0.20337351199998466,0.0011017969999898014,0.009750415929113288,0.9974748068086884
main_scaled,RBF SVM,3,1,11,455,114,0.9697019325253848,0.9990173599737963,1.0,0.971830985915493,0.9438975339262832,0.012116761271257895,0.3127828131432312,0.20351093499999706,0.0010218059999829165,0.008963210526165935,0.9945647767994549
main_scaled,RBF SVM,3,2,12,455,114,0.9534883720930232,0.9914837864395677,0.9069767441860465,1.0,0.9266092224680211,0.03319897302259224,0.6189854019913419,0.1948244499999987,0.001108808000026329,0.009726385965143237,0.9965257510552697
main_scaled,RBF SVM,3,3,13,455,114,0.9761904761904762,1.0,1.0,1.0,0.962621902223779,0.013156546659740054,0.26433244915474396,0.2043836959999794,0.000983719000032579,0.0086291140353735,0.9950578199885678
main_scaled,RBF SVM,3,4,14,455,114,0.9672619047619048,0.9871031746031745,0.9761904761904762,1.0,0.9259891667402068,0.025570033691802933,0.7933452577047929,0.2010448479999809,0.0009611450000193145,0.008431096491397495,0.9973409400694719
main_scaled,RBF SVM,3,5,15,456,113,0.9929577464788732,1.0,1.0,1.0,0.9813191253000522,0.009237757408391875,0.8112900210954272,0.19779471399999693,0.0009661219999657078,0.008549752212085909,0.9922593284197335
